"sample_size","scenario","HCP_cov","HCP_len","DWR_cov","DWR_len","LC_cov","LC_len","LMEM_cov","LMEM_len"
100,"Homo",0.9078,9.08625852029353,0.8892,8.76947960635485,0.899,11.2447462230135,0.5244,6.03130945776643
100,"Heter",0.898,17.2682850214913,0.8906,18.6956608360157,0.9026,22.1672816332399,0.7788,13.0011478909119
100,"Asym",0.9094,12.6463273628629,0.9056,15.4215333066063,0.9078,18.9299159290108,0.7624,11.2358070188691
100,"Bimo",0.9266,20.1866366407823,0.8934,23.0880752974932,0.8932,25.1015276096467,0.9052,26.670846825587
100,"Bimo-fix",0.897,9.1113524108899,0.8872,18.0634559548217,0.8742,20.0881186713501,0.914,26.145497577898
300,"Homo",0.8958,7.7027484469083,0.8734,7.1393937467797,0.9058,9.18755086144905,0.5468,6.0327985875141
300,"Heter",0.8988,15.0824672886078,0.8726,14.6655102473516,0.907,18.2560424772066,0.7948,13.0902800429027
300,"Asym",0.8968,10.9084678159504,0.88,10.9378983985286,0.9058,14.8307305031292,0.7706,11.3083295197682
300,"Bimo",0.9042,17.4715534205778,0.8894,20.9437308068414,0.908,22.8588509625804,0.9094,26.6827925742933
300,"Bimo-fix",0.9134,8.346105990789,0.8762,17.3002201949641,0.8808,18.5505704700669,0.9134,26.156292102545
500,"Homo",0.8906,6.76001304225205,0.8712,6.84904452372587,0.9036,8.3217455678695,0.5416,6.0428849400044
500,"Heter",0.8932,13.6060349390366,0.8734,13.9314608537483,0.9062,16.7301112492295,0.789,13.1123357225099
500,"Asym",0.898,8.53148587192383,0.8832,9.95167376349272,0.906,12.3580705647079,0.7746,11.3890043091826
500,"Bimo",0.8958,14.7662909086033,0.8746,20.5759156733033,0.8974,22.0629120081302,0.9026,26.730709915162
500,"Bimo-fix",0.896,5.65561122928598,0.8662,17.2029979154764,0.872,18.0095751567332,0.9074,26.1980533785364
