cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,57.95564494,1,36.92769627,1,33.01345443,0,29.08529153,1,27.62104879,1,31.81197805,1,17.60220326
1,39.77128457,1,40.9165001,1,20.79009074,1,71.85386942,1,33.3937999,1,19.80606182,1,17.54992868
1,51.78617772,1,22.23224243,1,33.23584873,0,25.34989263,1,34.50451176,1,20.48112654,1,24.6474536
1,37.59105669,0,33.77107563,1,32.30984684,1,30.44699913,1,37.8728027,1,28.42340441,1,18.99549994
1,39.7214288,1,22.16974833,1,34.17710002,1,39.83630476,1,19.0587949,1,18.35848007,1,16.3531105
1,53.91529037,1,27.37673533,1,35.82447435,1,24.57965604,0,40.24773146,1,28.6647878,0,28.00099975
1,63.26679869,1,37.12136772,1,29.52832049,1,21.31905143,1,21.78041634,1,39.73286426,1,30.19427573
1,44.57030064,1,31.89826376,1,18.3540808,1,21.10364749,1,34.17763923,1,21.14927292,1,16.95554738
1,51.73221864,1,47.27997153,1,35.38888495,1,46.25544718,1,16.90821299,1,18.98354567,1,16.04717117
1,40.88209995,0,24.73379232,1,20.21701016,1,30.33095508,1,33.73912324,1,30.84987526,1,43.67617009
1,41.56169759,1,38.20366941,1,24.07128568,1,16.8494322,1,23.59984346,1,28.06604721,1,20.98975876
1,40.27852912,1,35.88182933,0,35.26205051,1,32.20709905,1,33.41838083,1,20.31165874,0,22.20199512
1,49.4427607,1,44.73867821,1,31.08953239,1,38.64634634,1,33.24598928,1,40.56756,1,19.17547081
1,50.53875619,0,22.66694947,1,30.95518511,1,27.36997507,1,27.17713813,1,16.47539496,1,39.86349898
1,41.19002533,1,38.51186863,1,33.55531995,1,32.23213141,1,20.85014571,1,17.52747566,1,31.49319306
1,39.74903726,1,44.39952389,1,35.7413102,1,36.67945417,0,33.15494763,1,27.53365063,1,20.62306511
1,41.25372204,1,28.12240163,1,41.64642862,1,22.35370541,1,21.17992752,1,38.92541364,1,17.08010274
1,54.72442776,1,32.00839211,0,25.09836059,1,20.5717755,1,27.33469719,1,30.48888495,0,18.98023936
1,37.94149889,1,33.53544175,1,25.88091855,1,34.48831003,1,15.58256719,1,21.29783158,1,20.62749382
1,38.51275446,0,35.96106149,1,29.52503012,1,41.15687115,1,35.09205244,1,20.84895293,1,16.41854405
1,45.01242627,1,28.18967293,1,29.71090054,1,34.12807257,1,21.15379939,1,28.55096508,1,16.17110649
1,36.89943275,0,57.69145171,1,28.45097572,1,19.7218108,0,26.67170916,0,30.31379028,1,34.05981186
1,47.91954133,1,54.68894692,1,33.50091542,0,19.42702086,1,41.75257413,1,16.15024053,1,35.34082764
1,48.78294299,1,20.13835323,1,35.20289338,1,33.54946013,1,20.27593401,1,17.80246649,1,38.20885711
1,67.72243576,1,40.79495461,1,31.5502851,0,32.54013966,1,30.08488988,1,29.73339096,1,27.82867906
0,51.43236882,1,16.5002108,1,45.49683502,1,35.22451049,1,24.61272758,1,18.5813843,1,21.50680878
1,37.20647076,1,34.0691124,1,21.70760725,1,34.67146152,1,27.28184765,1,18.83646819,1,29.6588539
1,37.63334668,1,23.35204771,1,40.62231547,1,19.2683464,1,29.07026596,1,18.99441784,1,18.33302659
1,50.19723932,1,25.18410072,1,34.35645646,1,18.48334592,1,21.40445824,1,18.04841454,1,21.14767575
1,39.67741056,1,32.50365886,1,26.38991796,1,22.07427713,1,27.73671767,1,23.99821841,1,18.91379106
1,53.9200635,1,22.71441668,1,32.32673836,1,34.10496107,1,25.43003941,1,28.40242583,1,21.39233451
1,55.02417209,1,42.71015126,1,27.41219777,0,22.20398289,0,29.27457555,1,21.21373278,1,39.62086176
1,46.77171304,1,42.66176756,1,26.32374106,1,24.33078231,1,19.18098402,0,17.27182538,1,18.11677037
1,48.17436995,1,43.11384605,1,36.58114392,1,27.95440274,1,18.26220628,0,16.60994603,1,22.11136258
1,40.28533566,1,57.09587142,0,29.97559836,1,29.72393255,1,30.77842722,1,24.72717834,1,31.17912461
1,31.9502499,0,19.55170008,0,44.55732763,1,42.20131162,1,19.54362011,1,20.77914038,1,30.81305926
0,41.08791425,1,35.23223366,1,38.52660439,1,35.96986121,1,24.80950459,1,40.89574506,1,35.48255422
1,40.11377399,1,33.24335892,1,30.24372488,0,33.02750572,1,19.10137465,1,39.41702884,1,29.15464748
1,35.06281422,1,26.68681417,1,21.78231435,1,22.05593099,1,34.20981879,1,36.20592867,1,16.37410688
1,53.36729091,1,40.59143525,1,32.30769098,1,44.03979291,1,18.09141626,1,16.3328656,1,18.43076489
1,42.11655507,1,44.28361472,1,39.34847997,1,29.01423918,1,18.66259068,1,33.7219544,1,18.83416515
1,48.73925619,1,40.85884017,0,34.74279795,1,52.513593,1,31.57869854,1,21.60485872,1,16.62351968
1,38.61160959,1,36.07845321,1,32.70321773,1,20.74495238,1,19.47071281,0,21.4326473,1,32.7736239
1,47.16650986,1,33.26843311,0,28.25132539,1,17.32331682,0,33.67629611,0,18.56221956,1,17.41219362
1,41.18572386,1,47.02516855,1,40.06002461,1,30.94484862,1,26.09502921,1,27.98124983,1,19.07262013
1,71.63837269,1,35.56619516,1,30.41481949,1,39.71959966,1,20.2478354,1,25.19856923,1,16.64064507
1,48.46115275,1,41.81705885,1,36.0512921,1,18.38456134,1,33.65652752,1,19.45128171,1,25.87670464
1,43.45511642,0,28.20616196,1,34.21262353,1,20.17592999,1,30.34227408,1,23.57129497,1,17.89000967
1,38.46413939,1,26.04617612,1,34.02379749,1,27.50908771,1,18.85954171,1,19.27467984,1,39.35529671
1,45.76164387,1,29.20799716,1,40.79601932,1,19.76901811,1,22.17239493,1,21.68240704,1,23.30249623
1,59.25171297,1,19.95356431,1,42.23424157,1,29.28449741,1,22.33475964,1,66.7026376,1,24.89404839
1,40.03539168,0,19.30072599,1,36.99715436,1,28.36347599,1,21.16763733,1,20.16132643,1,18.09804625
1,43.7814696,1,33.04579171,1,38.87423962,1,28.55325713,1,18.40950892,1,19.31000006,1,30.00167744
1,85.31681104,1,27.18723289,1,37.34669553,1,17.68728711,1,35.4045472,1,17.51112935,1,20.12187308
1,41.33273501,1,28.65591856,1,41.2134846,1,39.9693505,1,28.19699568,1,31.91392043,1,44.87546793
1,48.09549541,1,38.90590076,0,29.68947608,1,28.96550301,1,35.98630761,1,22.55892865,1,31.6465118
1,45.58510009,1,47.72619093,1,28.95766997,1,30.4153636,1,20.5410519,1,31.4269493,1,49.46259646
1,67.7185991,1,34.91719771,1,40.79106527,1,32.42188014,1,17.11136345,1,20.93806532,1,30.56282909
1,62.19343622,1,42.7230865,1,35.62192419,1,32.73609445,1,31.75247489,1,17.81912529,1,31.65333593
1,51.21744834,1,23.51191459,1,21.59040376,1,28.86166789,1,43.13867743,1,22.79968972,1,22.76416646
1,51.78640273,1,33.75642425,1,27.00697615,1,29.61229781,0,34.09290934,0,28.10672813,1,46.18905415
1,37.05550775,0,27.00812919,1,33.32081797,0,20.81305279,0,19.54593198,1,34.25363375,1,16.69087487
1,40.01379208,1,32.30296963,1,36.80434435,1,21.05704016,1,18.55996978,1,23.37810677,0,19.89737926
1,32.52103489,1,31.35043358,1,30.33371597,1,27.65082315,1,26.48011891,1,20.45881114,1,54.01111704
1,49.41838249,1,40.25663671,1,35.09512854,1,21.77969642,1,50.00875597,1,31.85754156,0,20.43218443
1,53.74851366,1,19.98218412,1,18.8094719,1,19.91043905,1,26.54850676,1,17.49294057,1,25.00218867
1,36.10541582,1,44.78609536,1,24.73955484,1,30.93493983,1,26.0739263,1,19.85726757,1,23.91421982
1,53.76741522,1,25.69293429,1,25.663835,1,28.07911964,1,55.35754815,1,28.72600823,1,18.44460673
1,48.35285703,1,28.67446444,0,20.84519807,1,18.86663083,1,22.06038321,1,24.32529575,1,18.00786495
1,41.37992414,1,23.59640762,1,33.27213851,1,38.05779105,1,38.25653324,1,22.37479628,1,28.80766036
1,47.71763522,1,41.6418591,1,28.26938598,1,31.61912052,1,25.44004399,0,22.32926286,1,37.38769325
1,42.09390549,1,21.01332932,1,20.46752176,1,30.9468015,1,21.57634331,1,34.0294201,1,29.31450994
1,39.28870693,1,35.65360238,1,31.21935927,1,22.82778445,0,23.79641628,1,17.54835563,1,30.86932021
1,41.60390082,1,32.95077253,1,25.98596611,1,29.80823957,1,20.25009254,1,18.8075062,1,30.79126367
1,41.98105201,1,34.54258388,1,20.03321247,1,31.25806562,1,24.84186024,1,17.67927727,1,37.91113643
1,47.10866923,1,20.04827262,1,33.8231292,1,39.07740103,1,27.67320802,1,20.35103351,1,23.52737698
0,30.64227664,1,28.5420128,1,47.96435361,1,30.73645597,1,20.7912906,1,30.04387303,1,16.26742708
1,55.81077043,1,45.48517641,1,31.61050528,0,29.15037688,1,19.20589123,1,25.53890807,1,21.48696662
1,35.56324972,0,48.41388692,1,21.595785,1,33.4495826,1,45.41999317,1,48.73724382,1,19.64933853
1,53.8124639,1,21.21100713,1,36.05426711,1,26.52241084,1,52.04353887,1,18.70553585,1,19.44645539
1,37.89302642,1,21.69696955,1,33.9802605,1,28.4582822,1,31.24883929,1,19.67859777,1,18.97973226
1,51.28352405,1,28.55019494,1,40.13151048,1,19.28091522,0,19.58372749,1,31.14439269,1,31.2591867
1,47.09241108,1,27.95036977,1,34.26458234,1,50.78984322,1,25.70615224,1,22.61655144,1,21.18152509
1,38.66739013,1,43.72854357,1,36.19406791,1,34.14045902,1,38.72456638,1,26.36096914,1,19.04919564
1,41.75335511,1,38.66540462,1,42.6449854,1,39.88057202,1,29.15989262,1,19.19375645,1,34.7557839
1,62.08622223,1,40.57877524,1,39.08383559,1,29.30660448,1,32.70628528,1,16.37704496,1,16.7692276
1,53.44694443,1,43.12697093,1,31.79137254,1,18.91078235,1,30.36061361,1,18.71152187,1,17.5133556
1,41.55669296,1,32.055213,1,31.64933774,0,30.528169,1,26.45659965,1,34.18861938,1,21.87483794
1,54.45892206,1,46.50234123,1,26.44387331,1,25.77419516,1,20.69693983,1,19.44741075,1,23.9654338
1,40.7737092,1,26.20738734,1,19.24323825,1,26.39311262,1,36.29978721,1,50.28468461,1,19.32573389
1,35.64489756,1,26.87214319,1,26.67735631,0,21.32487259,1,21.21873913,1,16.4993283,1,17.68763237
1,55.80637597,1,61.65790687,1,29.83733123,1,20.84180444,1,16.28430452,0,28.05576724,1,18.069155
