cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,50.44930294,1,33.58684769,1,27.29687798,1,20.49910929,1,43.2985191,1,22.78672238,1,23.93438498
1,37.25684086,1,33.13862835,1,30.45105271,1,21.81707284,1,23.14829414,1,25.15542172,1,22.22913349
1,62.23283168,1,33.50521444,1,30.83840153,1,24.51823185,1,20.82686477,1,21.95480706,1,23.13679564
1,41.98793572,1,35.50745359,1,23.53279278,0,26.2282072,0,20.73750853,1,22.82199039,0,20.97049322
1,30.73507993,1,29.42240375,1,22.70015407,0,33.07617057,1,22.3995875,1,30.0411715,0,23.52002953
1,37.52926829,1,34.57601719,1,30.82574865,1,21.6513648,0,22.04851081,1,29.15999738,1,25.3848537
1,43.95230588,1,34.73699713,1,37.38545103,1,28.33407201,1,35.33040337,1,20.57367658,1,22.688108
1,59.28766602,1,28.63974793,1,28.94552237,1,22.29468739,0,29.17458942,1,21.0548886,0,21.16279024
1,52.8068883,1,35.62550086,0,29.11912558,1,23.16945717,1,23.98018892,1,21.06713788,1,21.20578562
1,33.25288622,1,24.70570865,1,21.53489854,1,21.39627849,1,29.81386924,1,34.64241386,1,23.53227149
0,37.42568391,1,29.92374999,1,24.35964415,1,23.39333602,0,23.18015272,0,22.08833604,1,23.55521484
1,34.38975271,1,29.23759049,1,26.02769476,1,22.74825075,1,24.58862292,1,30.49891239,1,22.923637
1,40.49306653,1,25.88553858,1,31.03396163,1,27.28173289,1,23.14560952,1,28.86919996,1,31.77015058
1,52.86789014,1,25.33869867,1,25.24547287,1,21.95257181,1,22.0198106,1,30.98400649,1,26.08060259
1,49.2325178,1,28.46943881,0,21.83870509,1,33.31009093,1,21.90408811,1,30.82121071,1,33.00406563
1,40.10847405,1,33.090463,1,26.86849617,1,22.77632245,1,21.96946908,1,24.78399897,1,24.58617044
1,34.9669773,0,28.62998184,1,25.13418137,1,25.34745626,1,27.75634127,0,20.60788421,1,25.61631587
1,37.88484044,1,24.35656996,1,36.28437153,1,26.06814503,1,30.70772703,1,23.25045157,1,29.43889481
1,31.55460938,1,30.03331949,0,28.96602212,1,42.27386559,1,21.70357073,1,24.14932225,1,29.85717994
1,46.30873945,1,28.10924103,1,25.06302186,1,29.73366302,1,31.61429982,1,30.42239561,1,21.58030891
1,47.16028591,1,24.67404498,1,28.66418207,1,27.54958155,1,20.28166186,0,24.88114236,1,21.24433813
1,33.1576191,1,25.82854325,1,28.2585798,1,30.74027832,1,24.83140904,1,31.68310839,1,32.15985827
1,43.35773414,1,34.33072742,1,24.97034271,1,22.6151868,1,32.64171357,1,20.48561603,1,24.52810769
1,47.15093708,1,28.65288472,1,24.53276915,1,30.80033871,1,36.97289197,1,20.2891047,1,22.58731353
1,42.19190572,1,39.68057358,1,29.07302609,1,27.6185972,1,31.01858303,1,22.53237663,1,21.7259396
1,29.27225014,1,43.64025451,1,21.7125584,1,27.13628956,1,29.78973438,1,21.66365205,1,23.54161516
1,46.43903322,1,27.31842449,1,28.23983947,1,24.18640388,1,22.78400417,1,23.81016397,1,23.55188583
1,54.05850913,1,30.27078115,1,23.57200331,1,21.32832192,1,29.51881414,1,22.08589954,1,26.09164995
1,41.32358076,1,35.40464065,1,24.45007119,1,27.69593079,1,28.77253199,1,23.72183585,1,22.18644737
1,31.2197771,1,33.35701134,1,19.0645276,1,30.12593036,1,28.0589341,1,21.41490894,1,24.6860304
1,44.16152218,1,34.26033215,1,20.85993197,1,21.68830362,0,22.22893697,0,22.94360739,1,34.210975
1,38.13702856,1,23.40893602,1,30.40899331,1,26.49157032,1,27.13519009,0,22.96239747,1,25.06658073
1,34.31193839,1,27.24557607,0,22.67589546,1,30.65517783,1,24.59249151,1,23.82467936,1,23.0591136
1,36.75376076,0,28.0049424,1,31.1444443,0,24.71927591,1,27.10773418,1,33.98192783,1,21.65386728
1,37.80519821,1,28.93855384,1,28.72796463,1,21.50833457,1,25.50093395,1,20.77362567,1,20.8989805
1,34.35171755,1,34.92506891,1,24.6867634,1,22.29549249,1,20.95887044,1,20.38713384,1,23.20250805
1,42.21072192,1,25.91453867,1,24.38248933,1,25.47196536,1,27.26484448,1,23.25935115,0,21.73091012
1,51.25619041,1,29.81667653,1,33.38569223,0,28.80666423,1,23.14532768,1,29.93500266,1,37.52046799
1,58.91698125,1,21.98539444,1,23.42270537,0,35.92553716,1,35.53113368,1,26.41942252,1,22.1172415
1,34.77249606,0,23.36021314,1,28.94334196,1,27.21809089,1,21.91497184,1,30.19792506,1,22.19543671
0,34.36173993,1,31.81067519,1,24.81033773,1,21.84561271,1,29.54357524,1,42.58546831,1,21.19916971
1,43.82556946,1,20.99558045,1,25.02177302,1,23.86326374,1,20.83859738,1,21.54717962,1,24.19196707
1,46.62187477,1,31.14523821,1,20.60512558,1,23.1364096,0,20.24893519,1,21.0030936,0,23.75927374
1,52.1392624,1,30.00291425,1,21.34142785,1,38.81322356,1,23.54906263,1,21.20103823,1,24.10214152
1,31.72697058,1,28.83590938,1,22.76042224,1,27.38852105,1,23.17027166,1,23.24909599,0,22.40679658
1,35.45397706,1,30.43356873,1,28.19008359,1,28.66656073,1,27.7006324,1,23.10228047,1,21.85516904
0,39.63112465,1,34.18887048,1,25.85051793,1,28.83856261,1,31.23487504,1,22.01214752,1,22.03272129
