cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,32.75458688,1,11.41238758,1,15.59165882,1,11.35398467,1,20.20536819,1,10.60077022,1,10.0052794
1,18.72023216,0,14.51181578,1,15.7968023,1,10.73344817,1,10.66066649,1,11.08690096,1,9.621979957
1,23.11129406,1,15.66800817,1,15.02563207,1,10.58603087,1,10.02931616,1,10.1887146,1,9.552756408
1,22.60354178,1,18.40389789,1,10.77698789,1,14.88123619,1,10.54088078,1,9.793782084,0,9.749521652
1,31.25681043,1,14.3742363,1,10.06982449,0,15.49434694,1,10.66518953,1,15.70439229,1,10.70580397
1,28.19460323,1,19.65498634,1,19.07777729,1,9.225634495,1,11.02897946,1,15.97499912,1,10.63886633
1,24.97762552,1,17.26303871,1,10.21825195,1,14.50439011,1,15.54257146,1,9.392132878,1,11.18112466
1,30.00130867,1,15.84141633,1,15.52358182,1,9.220561031,1,14.53351608,1,9.607910073,1,9.848654169
1,22.76463022,1,12.51492129,1,15.43024543,1,11.63568849,1,10.54037433,1,9.981213973,1,9.919526522
1,19.54472963,1,11.79239311,1,10.34660481,0,9.663455008,1,15.71796655,1,15.90803096,1,9.969890344
1,20.8423159,0,14.99290674,1,10.16712108,1,10.81415471,0,10.2464609,0,10.11631464,1,10.13254205
1,21.64571862,0,14.73480941,1,10.9856416,1,9.691881315,1,9.97636094,1,10.27048648,1,9.728651482
1,18.7394077,1,12.3941927,1,15.57037586,1,15.21499067,1,10.35181044,1,16.05581717,0,15.78569705
1,35.6713803,1,12.33112807,1,12.66879787,0,9.273572638,1,10.59829868,1,15.03840359,1,11.37525668
1,26.15320209,1,13.92099871,1,9.817856543,1,15.5533874,1,9.913527884,1,14.93392,1,16.23638009
1,33.44651373,1,18.31418974,1,10.06225483,1,9.587512838,1,9.510288604,1,11.57614836,1,9.623907422
1,23.56575227,1,14.72340806,1,11.49262422,1,10.47905037,1,14.31540047,0,10.95012484,1,10.32775535
1,25.23130632,0,10.65852376,1,20.10120451,1,10.01843249,1,15.45336585,1,9.94479795,1,14.46567637
1,22.95493575,1,17.11720132,1,15.76963586,1,22.75573687,1,9.697661464,1,9.39624213,1,16.07674852
1,22.06636486,1,10.42875324,1,10.05271186,1,16.22736663,0,15.77887284,1,14.29371995,1,9.755512528
1,23.76606458,1,11.92069269,1,15.34684101,1,14.86772275,1,9.31589837,1,11.0350714,1,9.841137403
1,29.57445539,1,10.60170995,1,14.68492059,1,14.82803577,0,11.80103507,1,17.0289774,1,15.80455954
1,27.33174942,1,18.52563179,1,12.93374702,1,10.87263917,1,11.90131019,1,9.969300819,1,10.45101372
1,19.40192324,0,14.82672877,1,9.879175174,1,15.53935916,1,15.91509901,1,9.454604753,1,9.202891563
1,22.97011504,0,23.24618183,1,13.91742656,1,14.71776207,1,16.51694193,1,10.89812269,1,10.52468474
1,16.48021805,1,22.31219159,1,11.02487602,1,14.31652651,1,15.69437689,1,9.807068595,1,9.616769579
1,24.77754187,1,13.37859346,1,15.24553454,1,11.07501651,1,9.834454463,1,10.59675655,1,10.53893053
1,17.97438269,1,14.74509975,1,10.04840946,1,10.09770365,1,14.16559169,1,9.431342828,1,11.07505827
1,28.85786243,1,18.1126436,1,12.84445824,1,14.15126022,1,15.6482506,1,9.889367407,1,9.968528625
1,21.65693816,1,14.54218326,1,10.20322485,1,16.00806771,0,10.05265523,1,9.427910043,1,10.64669889
1,20.90094451,1,18.65650917,1,10.25597511,1,10.08507301,0,10.16493756,1,9.970791111,1,15.94276553
1,28.54747428,1,9.937594184,1,15.24766383,1,11.09383497,1,14.81832948,1,10.16301959,0,11.0956228
1,30.90011596,1,11.81297629,1,9.780658576,1,15.98301937,0,10.41650711,1,9.890083839,1,10.15101207
1,17.46287788,1,14.83499407,1,19.61986713,0,9.78394446,1,14.35227133,1,16.76827559,1,9.351711135
1,24.21909882,1,17.31108965,0,15.05429081,0,8.872747111,1,11.04375289,1,9.846361819,1,10.16833148
1,23.9294145,1,11.43865931,1,9.904368017,0,9.552507461,1,9.865795606,1,9.804566772,1,10.47260685
1,21.22226308,1,10.35254281,1,12.08826164,1,10.75562582,1,15.55207934,1,11.20401815,1,10.10337847
1,20.87312349,1,15.21503269,1,15.2242041,0,14.022754,1,9.408964035,1,16.25565725,1,21.83848089
1,33.03766384,1,13.10401607,1,11.26260421,1,20.65586449,1,19.0941967,1,10.64028102,1,10.0819152
1,16.02255738,1,11.1927283,1,13.90622652,1,14.47705547,1,9.743696984,1,15.01018278,1,10.25118447
