Homo_cov,Homo_len,Heter_cov,Heter_len,Asym_cov,Asym_len,Bimo_cov,Bimo_len,Bimo-fix_cov,Bimo-fix_len
1,7.368458801,1,18.76074088,1,7.70090722,0,15.19593249,1,3.315253927
1,8.400043033,1,11.72546305,0,7.031263114,1,12.59091549,1,3.867796248
1,7.221089625,0,13.60153714,1,7.366085167,0,15.19593249,1,3.683615475
1,7.515827977,1,14.07055566,1,7.366085167,1,24.31349198,1,7.551411723
1,10.75794985,1,14.07055566,0,6.696441061,1,14.32759349,0,2.94689238
1,5.85066752,0,11.72998949,1,7.10367565,0,7.250558338,1,5.13234955
1,7.800890026,1,12.66838865,1,8.287621592,0,10.02283064,1,4.704653754
0,10.23866816,0,11.26078991,1,7.814043215,1,10.44933408,0,4.063110061
1,6.663260231,1,12.66838865,1,9.234778345,1,12.1553478,1,9.837003305
1,7.150815857,1,12.19918907,1,8.997989157,1,12.36859952,1,15.18320075
1,6.670999438,1,13.9898074,1,11.02209269,1,11.95926439,1,3.8095075
1,6.670999438,1,14.59805989,1,9.326386123,1,12.86185038,1,3.8095075
1,6.035666158,1,12.16504991,1,10.45685717,1,8.800213416,1,5.413510657
1,5.717999519,1,14.59805989,1,8.478532839,1,11.28232489,1,3.609007105
1,6.988666078,1,13.07742866,1,9.043768362,1,13.31314337,1,4.010007894
1,6.797792361,1,12.52903319,1,8.22552109,1,10.6470704,0,4.047944929
1,6.30039292,1,12.52903319,1,7.896500246,0,10.42525644,1,15.82378472
1,7.958391057,1,16.34221721,1,7.238458559,1,44.14097938,1,36.61550186
1,7.129391988,1,12.80140348,0,8.883562777,0,8.87255867,1,17.1117672
1,7.295191802,1,15.79747664,1,8.554541934,1,17.30148941,1,11.95983729
1,5.815400162,1,12.33704025,1,7.547946118,1,11.63588426,1,4.783112667
1,7.192731779,1,14.25613541,1,8.453699653,1,21.86743767,1,11.22191818
1,7.651842318,1,14.53029186,1,8.755617497,1,22.26867506,1,11.95778167
1,5.203252776,1,10.14378865,1,60.0816511,1,39.92312015,1,36.60920849
0,7.651842318,0,16.17523056,1,8.151781808,1,18.65753856,1,13.0615769
1,29.98797536,1,40.73256296,1,11.31022318,1,17.15894273,1,2.869995103
1,6.931893803,1,12.8952335,1,9.469024058,0,11.81070084,1,4.663742042
1,29.98797536,1,40.73256296,1,7.890853382,1,13.59344814,0,6.995613063
1,5.877040398,1,13.09991975,1,10.52113784,0,19.83306368,1,13.81185143
1,8.438827238,0,15.14678221,1,12.62536541,1,20.2787505,0,16.32309715
1,5.003001695,1,15.53861799,1,8.914209959,1,17.91011416,1,4.661558892
1,6.367456703,1,13.91518029,1,7.521364653,1,11.39734538,1,4.28863418
1,6.064244479,1,13.68326061,1,8.635640898,1,10.23435095,1,4.102171825
1,6.519062815,1,13.91518029,1,8.635640898,1,13.49073534,1,3.729247113
1,4.396577247,1,9.508706528,1,10.58562433,1,19.07310859,1,3.542784758
1,6.532970303,1,12.44149646,1,8.531419469,0,9.670391261,1,2.802043246
1,7.310704863,1,13.45712882,1,7.378524946,1,14.84292612,1,5.604086492
1,30.95383548,1,50.5277101,0,8.07026166,1,11.69442664,0,4.803502708
1,6.999611039,1,13.45712882,1,7.378524946,1,12.3691051,1,4.603356762
1,6.844064127,1,12.69540455,1,6.686788232,1,11.244641,1,4.403210815
1,7.192063549,1,14.94707967,1,7.800334269,1,12.71522513,1,10.86529368
1,7.845887508,0,12.45589972,1,7.800334269,1,11.48471947,1,4.527205699
1,6.53823959,1,12.7326975,1,8.210878178,1,13.74064651,1,14.66814646
1,6.3747836,1,13.83988858,1,8.210878178,1,11.27963519,1,4.165029243
1,7.355519539,1,13.28629304,1,8.210878178,1,15.38132072,1,7.786793802
1,6.503580168,1,13.48788762,1,6.842680363,1,21.35797195,1,3.789497096
1,6.947006088,1,12.11623803,1,8.086804066,1,23.0666097,1,5.774471765
1,6.207962888,1,15.31675374,0,7.464742215,1,20.29007335,1,3.609044853
1,7.686049289,1,20.80335209,1,6.842680363,1,14.52342092,1,3.42859261
1,6.207962888,1,10.97319671,1,6.842680363,0,10.25182653,1,5.233115037
1,6.482392636,1,13.86542245,1,7.820995346,1,51.07781577,1,38.23280451
1,5.458856956,1,12.50606731,1,10.64524367,1,24.89722678,1,4.610991499
1,6.823571196,1,15.22477759,1,8.689994829,1,16.17036379,1,3.842492916
1,6.141214076,1,11.69045422,1,9.993494054,1,12.06360473,0,3.65036827
1,5.458856956,1,14.95290656,1,7.169245734,1,20.79046772,0,3.842492916
1,7.276204178,1,18.75609933,1,9.886556218,0,16.59977511,1,4.364689291
1,6.277509487,1,14.13921334,1,7.689543725,1,24.02599029,1,16.50991167
1,6.990862838,1,14.13921334,1,9.062676533,1,15.28926655,1,10.81683868
1,6.420180157,1,12.11932572,1,8.238796848,1,12.88666752,1,9.48845498
1,5.136144126,0,9.52232735,0,8.788049971,1,12.44983133,1,8.919147682
1,5.812470626,1,13.07944743,1,8.498277646,1,24.24887987,1,14.13809971
0,5.284064206,0,8.026024561,1,10.26875216,1,21.27496064,1,13.38406773
1,5.9886061,1,13.07944743,1,7.43599294,1,24.93516892,1,13.76108372
1,6.869283468,1,12.48492709,1,70.46488548,1,22.41877573,1,6.220763875
1,7.221554415,1,15.16026861,1,4.957328627,1,22.19001271,1,13.38406773
1,6.703067656,1,10.40485867,1,6.79654763,1,23.69838965,1,7.590092115
1,6.703067656,0,10.40485867,1,8.959085512,1,12.194317,1,7.200856622
1,7.373374422,1,13.69060351,1,9.576953478,1,24.15855255,1,11.67706479
1,6.535490965,1,13.41679144,1,8.341217546,1,23.23822674,1,10.70397606
1,7.038221039,1,13.41679144,1,8.650151529,1,24.15855255,1,6.033150143
1,7.690227057,1,12.86389478,0,7.253499613,1,12.95912812,1,4.446680452
0,6.921204351,1,12.86389478,1,8.514977807,1,12.74668339,0,3.890845396
1,5.639499842,0,11.06893272,1,7.253499613,1,11.47201505,1,4.076123748
1,7.433886155,0,11.66725341,1,7.253499613,1,14.23379646,0,3.890845396
1,6.664863449,1,12.86389478,1,8.514977807,1,11.8969045,1,5.187793861
1,6.351589429,1,14.68343592,1,7.942513378,1,11.13050202,1,4.304386912
1,6.68588361,0,14.46428016,1,9.183531093,1,16.48170491,1,4.678681426
1,6.351589429,1,12.27272256,0,10.17634527,1,16.26765679,1,3.555797883
1,7.02017779,1,15.99837048,1,5.956885033,0,9.41811709,0,3.368650626
1,7.354471971,1,14.90259168,1,8.93532755,1,14.76931998,1,3.555797883
1,7.680714207,1,13.11804873,1,9.135345633,1,15.02138021,1,3.193649943
1,9.387539587,1,14.95457556,1,10.47877881,1,22.09026501,0,3.37107494
1,6.542830621,0,11.54388289,1,10.74746545,1,20.32304381,1,3.37107494
1,8.391891449,1,15.21693653,1,8.329285724,1,21.42755706,1,3.193649943
1,7.680714207,1,13.64277068,1,10.47877881,1,22.53207031,1,3.37107494
1,34.24777138,1,50.4936359,1,8.609624735,1,44.32918846,1,36.96550524
1,6.023477378,1,12.43310633,0,8.348727015,1,10.02418834,1,3.529369847
1,7.572371561,1,16.23915929,1,8.609624735,1,12.25178575,1,5.386932925
1,7.228172854,1,14.7167381,1,8.348727015,1,10.46970783,1,5.386932925
1,6.539775439,1,11.41815887,1,8.609624735,1,9.578668862,1,3.715126155
1,7.334714352,1,15.49445463,1,10.09355823,1,11.5382095,1,3.652262817
0,6.501224085,0,11.40564021,1,10.35236742,1,16.24768277,1,7.304525633
1,7.334714352,1,14.20325007,0,9.834749048,1,13.65747247,1,4.421160252
1,5.834431871,0,13.12724628,1,10.09355823,0,11.5382095,1,19.22243588
1,6.834620192,1,13.12724628,1,7.764275564,0,7.77063089,1,3.460038458
1,7.326552714,1,15.0133016,1,9.160510539,1,11.3432029,1,3.233260046
1,5.622703246,1,12.25575641,1,7.751201225,1,22.89646511,1,3.053634488
1,6.645012927,1,12.86854423,1,8.455855882,1,17.64498229,1,4.67026451
1,5.452318299,1,11.64296859,1,7.398873897,1,9.452669083,1,2.874008929
1,7.837707555,1,16.23887724,1,12.33145649,1,14.49409259,1,6.646145649
1,6.463572346,1,12.42960107,1,9.680243283,1,13.7197303,0,4.241992932
1,7.78943334,0,12.93693173,1,7.818658037,1,16.19378002,1,15.30806145
1,7.126502843,1,12.93693173,1,9.680243283,1,22.94118837,1,11.80380642
1,7.126502843,1,14.4589237,1,10.42487738,1,11.92042141,1,7.930682438
1,6.132107097,1,13.44426239,1,11.16951148,1,10.79585335,1,4.241992932
1,6.440754645,1,12.37994925,0,6.668197435,1,18.76085006,1,4.096599161
0,5.796679181,1,11.84169058,1,7.11274393,1,18.11392419,1,4.274712168
1,6.118716913,1,12.37994925,1,7.11274393,1,22.42676329,1,13.53658853
1,5.796679181,1,11.84169058,1,7.11274393,0,8.841320142,1,3.740373147
1,6.923811244,1,12.11081992,1,6.668197435,1,15.95750465,1,3.740373147
1,28.15990873,1,44.13053463,1,9.322516858,1,23.39956505,1,7.967696422
1,7.075353951,1,11.97511995,1,10.22469591,1,22.08743991,1,5.501504672
1,7.782889347,1,14.19273475,1,5.112347955,1,23.39956505,1,12.71037286
1,5.660283161,1,9.757505144,1,8.119611457,1,19.02581457,1,3.794141153
1,6.367818556,1,10.42278959,0,6.014527005,1,21.86875238,1,3.794141153
1,6.195998367,1,10.83068864,1,12.61537135,1,13.1289685,1,2.930023846
1,6.540220499,1,14.35695936,0,8.10988158,0,15.85384876,1,15.62679385
1,6.540220499,1,17.12760064,1,7.509149611,1,14.61526682,1,6.446052462
1,6.368109433,1,11.58631808,1,19.223423,0,7.679207992,1,5.274042923
1,5.507554104,1,13.34945344,1,8.410247564,1,19.32187817,1,16.01746369
1,6.680364749,1,13.94491077,1,9.327205106,1,14.47345722,1,3.768223428
1,6.680364749,1,18.1706413,1,8.110613136,1,14.04141372,1,3.349531936
1,6.262841953,1,13.52233771,1,9.327205106,1,12.09721798,1,3.977569174
1,6.819539015,1,14.15619729,0,7.299551822,1,13.17732673,1,5.23364365
1,6.262841953,0,14.36748382,1,9.327205106,1,13.39334847,1,12.14205327
1,7.024159239,0,13.72079633,1,7.804412614,1,15.80495966,1,8.885574412
1,6.413362784,1,11.31363908,1,57.52141149,1,14.42202569,1,8.885574412
1,7.329557467,1,13.23936488,1,8.671569572,1,20.74400955,1,3.517206538
1,8.093053036,1,12.99864915,1,10.11683117,1,15.60739766,1,8.145109878
1,7.176858353,1,12.5172177,1,8.671569572,1,9.2854138,1,3.887438805
1,6.523990007,1,9.012714726,1,5.847166936,1,24.28432971,1,4.272750657
1,5.322202374,1,12.31737679,1,7.308958669,1,17.02406619,1,3.865822023
1,6.523990007,0,10.81525767,1,7.308958669,1,23.78362188,1,4.06928634
1,7.554093692,1,13.51907209,1,7.308958669,1,18.02548185,1,4.883143608
1,7.554093692,1,12.01695297,0,8.039854536,1,23.28291405,0,3.662357706
1,7.199794944,1,11.40580805,1,8.787274669,0,11.63894924,0,3.904160136
1,6.730243099,1,13.642241,1,49.96193312,1,14.32486061,1,14.4453925
1,6.417208537,1,13.41859771,1,7.280884726,1,9.176863827,0,3.904160136
1,6.417208537,1,10.51123487,1,9.03833966,1,12.08660114,1,3.513744122
1,6.573725818,1,13.642241,1,10.04259962,1,17.45842387,1,9.369984325
1,8.431810658,1,15.11838091,1,9.878853297,1,15.7431973,1,4.036259946
1,5.480676928,1,10.16580785,1,16.46475549,0,13.8788713,1,3.651854237
1,7.167039059,1,13.29374873,1,6.860314789,1,21.95761728,1,3.459651382
1,8.010220125,1,14.59705743,1,9.330028113,1,7.043009317,0,4.420665655
1,8.572340836,1,14.07573395,1,7.683552564,1,16.98608129,1,3.844057091
0,5.966798156,0,11.52869663,1,7.982715397,1,13.52607015,1,3.656792516
1,6.414308017,1,11.52869663,1,8.687072638,1,16.45671868,1,4.266257935
1,7.607667649,1,14.05938614,1,6.808786662,1,12.39889763,1,3.250482236
1,7.160157787,1,12.93463525,1,6.574000916,1,17.80932569,1,3.656792516
1,6.414308017,1,12.3722598,1,8.687072638,1,16.00584967,1,4.063102795
1,5.412875752,1,10.40782168,1,7.653963122,1,16.1666209,1,5.011632863
1,6.409984443,1,13.7294669,1,7.653963122,1,11.00228367,1,1.734795991
1,7.264649036,0,14.39379595,1,7.653963122,1,13.92125689,1,4.433367532
1,6.125096246,1,11.29359374,1,8.554429371,1,14.59486609,1,5.204387973
1,6.125096246,1,11.07215073,1,8.104196246,1,22.45364014,1,19.27551101
1,30.10203474,1,48.88036889,1,8.145743524,1,16.03119092,1,4.880753802
1,7.2607923,1,14.49216967,1,9.20823181,1,16.25384635,0,4.519216483
1,6.806992781,1,13.75527969,1,7.437418001,1,14.02729205,1,4.338447824
1,7.412058806,1,13.50964969,1,6.729092477,1,15.36322463,1,3.073067209
1,7.563325312,1,12.03586973,1,7.437418001,1,14.47260291,1,3.615373187
1,6.636875462,0,14.36582071,1,8.602529757,1,17.26324954,1,4.98354678
1,6.287566228,1,11.49265657,1,9.462782733,1,12.22813509,1,4.408522152
0,6.11291161,0,15.02885859,1,6.308521822,1,14.14627393,1,17.44241373
1,6.11291161,1,13.03974495,1,8.029027773,1,11.98836774,1,4.025172399
1,5.763602375,1,12.15569444,1,8.315778765,1,12.46790245,1,4.408522152
1,7.494855866,1,12.33673803,1,9.31047177,1,8.929240696,1,6.046244268
1,33.14391816,1,46.32095976,1,8.109120574,1,15.89840417,1,12.65932394
