cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
0,30.50215699,1,25.06089002,1,12.85581801,1,18.30425297,1,12.5562715,1,8.627352338,0,15.35802488
1,36.30183445,1,24.1209286,1,32.84703712,1,22.58233802,1,11.73549701,1,17.92693329,1,13.10319638
1,29.85478474,1,23.88918881,1,9.664119025,1,9.824519341,1,11.41495449,1,18.72817986,1,5.582106674
1,31.67632822,1,19.73930924,1,18.28935118,1,12.55937597,1,14.12472542,1,14.07183368,1,13.6649996
1,34.10696583,1,27.76424776,1,22.92214763,1,19.01346291,0,13.63286868,1,10.34002106,1,13.46467208
1,34.89391928,1,22.62975621,1,18.26034384,1,13.41744929,0,16.50865197,1,7.702730032,1,8.297179759
1,25.52605558,1,27.50098424,1,10.55376933,1,10.71467446,0,8.543275916,1,11.18350303,1,14.39301446
1,27.8503849,1,24.60541243,1,8.32607136,0,5.069716214,1,15.9305386,1,10.52024478,1,4.992748651
1,25.40966595,1,28.62657105,1,15.60980525,1,12.28853035,0,12.18013882,1,14.95300294,1,15.46890914
0,26.38613218,1,29.5207078,1,19.59711355,1,19.58253459,0,11.97417383,1,14.55936301,1,17.87361072
1,24.19193858,1,25.85632029,1,16.83011897,1,18.19364765,1,11.17504923,1,18.5919273,1,7.659849034
1,31.07216596,1,21.40176497,1,16.54786549,1,16.66873708,0,14.52157878,1,15.08480236,1,11.51700014
1,32.76703309,1,26.80914146,1,33.32821373,1,33.08498381,1,12.29740918,1,7.910921628,1,10.6471728
1,24.98760339,1,23.567769,1,18.41083882,1,8.993045586,1,10.74744936,0,12.03231735,1,15.84983213
1,29.33214255,1,17.82233796,0,5.595406236,1,15.28901521,1,17.4295967,1,18.71286624,1,6.115289794
1,32.66193445,1,20.7805141,1,18.34043119,1,6.816500808,0,15.95236537,0,9.16519625,1,13.12047507
1,35.9617973,1,25.02856048,1,12.49071978,1,9.513220461,1,17.96619728,1,7.148472235,1,7.645670014
1,33.44937163,1,25.98683162,1,17.34963914,1,17.64618548,1,8.160005707,1,7.570082293,1,7.911971737
1,30.21662717,1,20.18077211,1,18.26131408,1,18.38438721,1,6.930513373,1,17.90435741,1,23.96078648
1,32.16730782,1,27.96122089,1,13.40006663,1,16.01202103,1,8.841457525,1,9.180938694,1,19.63350537
1,31.63053935,1,24.71710211,0,9.295497555,1,18.8839074,1,16.43133763,1,9.864099518,1,14.73459857
1,31.44516632,1,17.98750269,1,11.00738383,1,20.94939903,1,9.673404599,1,14.71065266,1,12.30582364
1,36.47879844,1,22.38051884,1,18.36364318,1,16.9949044,1,15.23108185,1,9.061211878,1,11.19178821
1,37.73533086,1,28.46637374,1,38.87164969,1,25.47167397,1,8.566659701,1,5.070978341,1,8.570318033
1,32.79347911,1,25.71286414,1,8.331960691,0,15.10667936,1,14.69177859,1,8.586195691,1,14.29070485
1,27.82156442,1,24.98823997,1,11.14399124,1,23.86061476,1,14.1162304,1,15.8594189,1,16.75352424
1,34.03612117,1,17.07019688,1,21.93345337,1,12.94498159,1,6.450969718,1,17.21180787,1,20.99326805
1,28.77713791,1,19.44037468,0,12.25906283,1,22.91742,1,13.62981068,1,7.921228543,1,12.68964526
1,24.49831931,1,27.6769153,0,8.4569256,1,8.729447134,0,13.84866612,1,23.20972142,1,12.58815354
1,30.92021227,1,22.45477933,1,13.97707362,1,12.56351707,1,10.24842043,1,11.20859227,1,13.29188626
1,27.82771831,1,24.97473114,1,23.32336832,1,12.12870065,1,14.79934311,1,9.034977291,1,7.691440153
1,26.79714732,1,24.22417309,1,19.37840028,1,17.27150641,1,13.70885154,1,5.030813513,1,18.05655907
