cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,50.42039289,1,31.60792024,0,29.00252257,0,31.02906613,1,24.57625094,1,24.51036838,1,26.80912728
1,35.98986513,1,30.74447811,1,32.41426081,1,29.43154535,1,24.43987505,1,29.54906988,1,23.87382224
1,39.00870301,1,29.39975479,1,27.25809694,1,24.32267984,1,28.50498523,1,23.89276399,0,24.27320688
1,36.9956875,1,28.31223649,1,27.9929226,1,26.01865114,1,29.60400536,1,31.47145064,1,26.1003101
1,44.61384358,1,33.50079826,1,27.96624597,1,28.15511724,1,25.14697239,0,26.61845645,1,23.12969413
1,41.72461963,1,32.09629745,1,29.32619303,1,24.4997252,1,31.11156851,0,23.43248909,0,23.03404088
1,31.05133868,1,32.83216749,1,24.74852139,1,25.17598656,1,24.46943054,1,25.38270079,1,25.34932264
1,37.13018037,1,30.33834028,1,24.01855318,0,24.13989843,1,28.69516658,1,26.29371361,0,21.43544177
1,40.83625238,1,35.97305136,1,24.36401202,1,23.95696679,1,23.49153329,1,31.47781498,1,29.85378977
0,38.10089773,1,34.61924546,1,30.62733177,1,28.67407528,0,21.54570949,1,29.47044382,0,28.28576983
1,33.40758864,1,33.09643531,1,34.29143812,1,23.77393831,1,24.93201066,1,30.74335209,1,22.60555049
1,38.13206701,1,30.14775733,1,23.76388858,1,30.91262134,1,23.79337454,1,28.02093112,1,28.00739814
1,34.74590437,1,32.6578737,1,35.59552555,1,26.06794225,1,24.8023705,1,27.17176263,1,26.29216161
1,39.45461581,1,30.7939574,1,24.80278062,1,24.421252,1,24.95124428,1,26.7178494,1,23.55639891
1,39.05725371,0,26.9157142,1,24.94101051,1,29.60458973,1,29.98306827,1,24.94852714,1,26.12604801
1,35.59577188,1,26.59513008,1,24.14462745,1,24.66279934,1,30.0731419,1,26.87750679,1,27.72464089
1,35.14904457,1,40.03009293,1,27.2152065,1,24.54579191,1,34.22422692,1,26.25992111,1,23.78499833
1,35.26412677,1,31.08853347,1,28.24593516,1,30.26614372,1,26.09904854,1,22.01942998,1,20.74589995
1,37.61497477,1,29.26652244,0,24.53635572,1,24.77083902,1,23.35473117,1,26.47084584,0,32.65149681
1,34.40868842,1,36.28256116,1,23.73670236,1,29.92452673,1,24.17480874,1,23.92452534,1,32.10580004
1,41.39546913,1,27.70847238,1,24.15572187,1,25.73710002,1,29.27436268,1,24.45177844,0,29.68006614
1,38.35290101,1,31.18275747,1,25.10072352,0,33.65771667,1,23.96896211,0,28.37716594,1,31.27420486
1,40.29603951,1,26.85613167,1,43.51881725,1,27.43931525,1,25.02201438,1,24.24961882,1,27.52636179
