"sample_size","scenario","HCP_cov","HCP_len","DWR_cov","DWR_len","LC_cov","LC_len","LMEM_cov","LMEM_len"
100,"Homo",0.908,8.18253546514504,0.8814,9.83542148381696,0.9284,16.352679521011,0.514,5.87929483973453
100,"Heter",0.9046,16.8996075276046,0.8748,19.9932845666188,0.9262,28.6917765962351,0.7862,13.27363120325
100,"Asym",0.924,12.8960124852333,0.8996,17.5328465067699,0.9306,27.6546682946372,0.7378,10.8447033754387
100,"Bimo",0.9118,24.9677507468243,0.8946,26.3239859534014,0.9264,31.1647864850533,0.9036,26.6184420820637
100,"Bimo-fix",0.9234,16.469924332088,0.8946,20.7195701900074,0.9146,25.9341240219923,0.9148,26.1185950563793
300,"Homo",0.9076,7.40705480952262,0.8526,7.4014178918541,0.9294,13.6130823941408,0.5372,5.86908298794718
300,"Heter",0.9086,15.8366843465092,0.8498,15.3982440759965,0.932,25.270069221499,0.8038,13.4572112273032
300,"Asym",0.9128,12.8439229313955,0.8536,12.2341988952675,0.93,23.588092939991,0.7594,11.073556708001
300,"Bimo",0.9108,18.6143495907996,0.87,21.2219963522698,0.9272,26.9886640891566,0.909,26.648474914499
300,"Bimo-fix",0.9234,9.17076810517954,0.8704,17.4298203504892,0.9022,21.8534175932719,0.9134,26.1352079437912
500,"Homo",0.9036,7.60805316875181,0.8462,6.87372190235198,0.902,8.54962973157619,0.5324,5.88383080683559
500,"Heter",0.9004,16.4168702471419,0.8416,14.1210422252232,0.9056,17.7279061218687,0.7976,13.4657906118473
500,"Asym",0.915,14.2515906092394,0.8586,10.5994440769722,0.914,14.2947440710305,0.7656,11.195708132781
500,"Bimo",0.9062,18.1586797889445,0.8578,20.5750080689983,0.9014,22.372580630509,0.903,26.6885033660541
500,"Bimo-fix",0.9116,8.69156271363613,0.8658,17.2895784795045,0.891,17.9095843284243,0.9078,26.1676361607284
